"cluster_method","k","ARI","CHI","BIC","PED","Runtime_seconds","scenario","sim_method","seed"
"flexmix",5,0.257213830492304,59.5819681519755,225196.613544326,NA,1.83946514129639,"SCE3","MICE-CS",1
"GBMT",2,0.467895438734417,198.34930867269,21081.3567682898,NA,31.8838043212891,"SCE2","eCDF-Copula",1
"GBMT",3,0.279191318206995,151.090095599224,19590.1669348627,NA,128.901174783707,"SCE2","eCDF-Copula",1
"GBMT",4,0.294703338065837,121.491770887337,18893.3974320778,NA,127.858485460281,"SCE2","eCDF-Copula",1
"GBMT",5,0.231560028661325,100.401834065708,18161.6672328998,NA,175.049108743668,"SCE2","eCDF-Copula",1
"KML3D",2,0.183472611896737,251.308853189643,NA,NA,0.158408164978027,"SCE2","eCDF-Copula",1
"KML3D",3,0.292722281326506,201.197081227752,NA,NA,0.190567016601562,"SCE2","eCDF-Copula",1
"KML3D",4,0.225659092944794,158.045215695274,NA,NA,0.24418044090271,"SCE2","eCDF-Copula",1
"KML3D",5,0.217868180904937,131.725405857036,NA,NA,0.279866218566895,"SCE2","eCDF-Copula",1
"flexmix",2,0.440831458098111,205.661369700074,23541.3466383467,NA,0.137510061264038,"SCE2","eCDF-Copula",1
"flexmix",3,0.280771350291702,176.550340588075,21369.5872290099,NA,0.209634304046631,"SCE2","eCDF-Copula",1
"flexmix",4,0.217415689039608,129.845393063188,20273.3071058863,NA,0.791319847106934,"SCE2","eCDF-Copula",1
"flexmix",5,0.185270502859109,118.3383591532,19854.3043165002,NA,0.594604969024658,"SCE2","eCDF-Copula",1
"LCMM",2,0,NA,24614.2993949754,NA,9.50045442581177,"SCE2","eCDF-Copula",1
"LCMM",3,0.0474651311914148,204.818945735956,24544.6293688439,NA,24.1118986606598,"SCE2","eCDF-Copula",1
"LCMM",4,0.0542418500334527,207.765905389289,24556.6123208863,NA,54.4699239730835,"SCE2","eCDF-Copula",1
"LCMM",5,0.0772862683379236,223.241718351005,24568.595227028,NA,451.903171539307,"SCE2","eCDF-Copula",1
"GBMT",2,0.855262985156922,124.142194168755,236931.933712147,NA,18.0449821949005,"SCE3","eCDF-Copula",1
"GBMT",3,0.642717491381649,75.4276399420511,228942.60699174,NA,93.3191342353821,"SCE3","eCDF-Copula",1
"GBMT",4,0.475618940950194,52.5084274781451,225313.724146879,NA,116.740487575531,"SCE3","eCDF-Copula",1
"GBMT",5,0.462573432601028,42.9207775444237,222692.233329775,NA,101.273644924164,"SCE3","eCDF-Copula",1
"KML3D",2,0.154558773953902,75.6720258113123,NA,NA,0.407041549682617,"SCE3","eCDF-Copula",1
"KML3D",3,0.267111758935723,80.696330049125,NA,NA,0.53261661529541,"SCE3","eCDF-Copula",1
"KML3D",4,0.307924268032755,73.2977755745621,NA,NA,0.6086745262146,"SCE3","eCDF-Copula",1
"KML3D",5,0.15611381073373,54.6806669480355,NA,NA,0.764622688293457,"SCE3","eCDF-Copula",1
"flexmix",2,0.639096928253555,127.426950891958,244386.648623339,NA,0.521928787231445,"SCE3","eCDF-Copula",1
"flexmix",3,0.406770591972941,102.152322308084,235934.257706572,NA,1.18507027626038,"SCE3","eCDF-Copula",1
"flexmix",4,0.325998423723539,73.9319897195535,228027.231295091,NA,2.68356108665466,"SCE3","eCDF-Copula",1
"flexmix",5,0.260876982838128,60.2866513084887,225125.029878034,NA,4.69243097305298,"SCE3","eCDF-Copula",1
"mixAK",2,0.210197754609939,168.334140777711,NA,26840.9788471224,28.7767174243927,"SCE2","CC",1
"mixAK",3,0.151422963221212,159.695651291502,NA,26819.7223578839,37.8675210475922,"SCE2","CC",1
"mixAK",4,0.154537547716694,113.684527239424,NA,27806.1957932339,47.3408715724945,"SCE2","CC",1
"mixAK",5,0.138026702873669,99.7966390102389,NA,27429.2721671213,55.8307826519012,"SCE2","CC",1
"mixAK",2,0.921403331041885,87.3456795853457,NA,NA,219.682576656342,"SCE3","CC",1
"mixAK",3,0.871487396747081,52.2535870145321,NA,NA,303.003655672073,"SCE3","CC",1
"mixAK",4,0.251202351105074,36.9456963805443,NA,NA,391.822021484375,"SCE3","CC",1
"mixAK",5,0.436208025139321,38.6160075190898,NA,NA,476.383298635483,"SCE3","CC",1
"mixAK",2,0.301072190331678,203.550265757936,NA,27385.234222315,25.3095016479492,"SCE2","MICE-L",1
