"scenario","sim_method","cluster_method","k","n_seeds","ARI_mean","ARI_sd","ARI_se","CHI_mean","CHI_sd","CHI_se","BIC_mean","BIC_sd","PED_mean","PED_sd","Runtime_mean"
"SCE2","LME-S","GBMT",2,10,0.397755664897534,0.0549707188353301,0.0173832676136361,232.292674023068,25.8718498957213,8.1813972952469,20629.0623831246,646.750566885897,NA,NA,40.6726229429245
"SCE2","LME-S","GBMT",3,10,0.266522538433144,0.0357399127888978,0.0113019527788698,184.524021063276,18.5357142240931,5.8615075006115,18792.1817329176,667.292410281198,NA,NA,123.775915408134
"SCE2","LME-S","GBMT",4,10,0.276739439832466,0.0453163140827727,0.0143302767665126,142.011105212835,21.9022304398174,6.92609340276943,17910.5070686376,653.31377913865,NA,NA,172.885006189346
"SCE2","LME-S","GBMT",5,10,0.242546388903086,0.0303049877001072,0.00958327855957266,124.202227232609,10.538733568706,3.33264017307856,17266.9257516175,675.430606414529,NA,NA,232.673297071457
"SCE2","LME-S","KML3D",2,10,0.225177821247179,0.0398647165695824,0.0126063302636935,302.569727321307,31.9415580558579,10.1008075471011,NA,NA,NA,NA,0.354773187637329
"SCE2","LME-S","KML3D",3,10,0.266238709151622,0.0317009422081803,0.0100247181351217,231.927356595062,19.7375222309869,6.24155256181266,NA,NA,NA,NA,0.215154957771301
"SCE2","LME-S","KML3D",4,10,0.215570442599035,0.0263139675807291,0.00832120718309347,185.530878338439,15.92060459278,5.03453722401223,NA,NA,NA,NA,0.268400764465332
"SCE2","LME-S","KML3D",5,10,0.204231692547957,0.0347136926842276,0.0109774334877283,152.807469551206,14.1955245455386,4.48901901447286,NA,NA,NA,NA,0.321000289916992
"SCE2","LME-S","LCMM",2,10,0.085989062552466,0.0494977838565304,0.0156525736117349,249.840770727469,49.9734836154903,15.8030030838055,23357.7177403139,545.508132376039,NA,NA,20.3671005010605
"SCE2","LME-S","LCMM",3,10,0.108419445877836,0.0668191083200784,0.0211300573512955,262.165630700908,54.1015653871208,17.1084171603831,23369.7006693931,545.508132363284,NA,NA,29.6364467382431
"SCE2","LME-S","LCMM",4,10,0.130230243541446,0.0815614432518581,0.0257919929926442,263.33294720094,47.3664697630003,14.9785929172577,23375.9721530243,551.409456164382,NA,NA,90.9036376714707
"SCE2","LME-S","LCMM",5,10,0.182764616372052,0.0891366323096192,0.0281874781055352,203.696092292608,34.2026350989402,10.815822889227,23356.439401344,544.991548929744,NA,NA,237.904319381714
"SCE2","LME-S","flexmix",2,10,0.409954528977528,0.0461018281475853,0.0145786781244031,243.15187315497,23.5052774394395,7.43302137427995,22964.9081743205,585.534753432553,NA,NA,0.19635694026947
"SCE2","LME-S","flexmix",3,10,0.280189652084143,0.0733488318171567,0.0231949372254842,203.520999253972,24.3873493801482,7.71195701355638,20675.2767742633,1144.15822814301,NA,NA,0.393853092193604
"SCE2","LME-S","flexmix",4,10,0.20575979581369,0.0250000159564572,0.00790569919629575,161.325048117335,15.4923644627883,4.8991158043862,19307.7633299961,637.322266687044,NA,NA,0.71471164226532
