cluster_method,k,ARI,CHI,BIC,PED,Runtime_seconds,scenario,sim_method
KML3D,2,0.32351804400418,181.72444208697996,NA,NA,0.5098388195037842,SCE3,LME-F
KML3D,3,0.18904227816729943,117.16889921628427,NA,NA,0.6540687084197998,SCE3,LME-F
KML3D,4,0.04646256894262049,67.76099813219686,NA,NA,0.7818756103515625,SCE3,LME-F
KML3D,5,0.11762180774056194,77.4994761704858,NA,NA,0.8389678001403809,SCE3,LME-F
flexmix,2,0.17858902275382954,127.65502456418209,290440.879196081,NA,0.5428459644317627,SCE3,LME-F
flexmix,3,0.22641658396591963,113.0503307759216,281046.84762752434,NA,2.271140813827514,SCE3,LME-F
flexmix,4,0.21047413059122133,100.44907974553604,277828.3452659975,NA,1.1393413543701172,SCE3,LME-F
flexmix,5,0.1585009204592955,84.91668205734017,274050.2380684286,NA,3.513760805130005,SCE3,LME-F
GBMT,2,0.3289738805302194,222.34271723370665,21263.60335589048,NA,44.328540325164795,SCE2,LME-S
GBMT,3,0.22026122184508745,161.58258787022598,19358.23934104133,NA,74.75867199897766,SCE2,LME-S
GBMT,4,0.23189880754607625,112.3070270823767,18448.307453172703,NA,173.44413304328918,SCE2,LME-S
GBMT,5,0.1877837943856227,119.94105882642424,17744.00029254459,NA,197.33302664756775,SCE2,LME-S
KML3D,2,0.20552171367363603,271.116871057729,NA,NA,0.154066801071167,SCE2,LME-S
KML3D,3,0.2423233945397906,217.53923817828223,NA,NA,0.18034124374389648,SCE2,LME-S
KML3D,4,0.17944543400052096,180.39329604080964,NA,NA,0.2299950122833252,SCE2,LME-S
KML3D,5,0.2061692607528631,146.6253160243254,NA,NA,0.2785367965698242,SCE2,LME-S
flexmix,2,0.34059421015470026,220.8608084237245,23478.413433685044,NA,0.15418386459350586,SCE2,LME-S
flexmix,3,0.24624965017856296,173.435487803632,21076.377163271056,NA,0.34591150283813477,SCE2,LME-S
flexmix,4,0.1846729197606236,153.71073728773464,19883.269465219186,NA,0.6266803741455078,SCE2,LME-S
flexmix,5,0.16266800797767236,135.19156049763086,19231.637138845323,NA,0.9931669235229492,SCE2,LME-S
LCMM,2,0.01384241315390342,173.5397767753836,23407.003726506355,NA,18.740243673324585,SCE2,LME-S
LCMM,3,0.01504643234982973,175.78556926025544,23418.98665559271,NA,22.530892848968502,SCE2,LME-S
LCMM,4,0.01630065837105277,178.46574191463074,23430.96958735079,NA,142.42076587677002,SCE2,LME-S
LCMM,5,0.01760509404148453,181.58236257001897,23442.9525137812,NA,288.1161758899689,SCE2,LME-S
GBMT,2,0.721808425506918,141.3026335224336,244679.8231877214,NA,29.7540385723114,SCE3,LME-S
GBMT,3,0.4689591561010928,104.5098256327945,234221.56411378089,NA,68.33867931365967,SCE3,LME-S
GBMT,4,0.3447061197765914,58.06048765946154,231296.16799298095,NA,104.14733624458312,SCE3,LME-S
